Company,TypeName,Ram,OpSys,Weight,Price_euros,Touchscreen,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand
Apple,Ultrabook,8,macOS,0.3148107398400336,1339.69,0,1,5.424875145432134,Intel Core i5,0,128,Intel
Apple,Ultrabook,8,macOS,0.29266961396282004,898.94,0,0,4.849511000528572,Intel Core i5,0,0,Intel
HP,Notebook,8,No OS,0.62057648772511,575.0,0,0,4.950262293702735,Intel Core i5,0,256,Intel
Apple,Ultrabook,16,macOS,0.6043159668533296,2537.45,0,1,5.396054706896642,Intel Core i7,0,512,AMD
Apple,Ultrabook,8,macOS,0.3148107398400336,1803.6,0,1,5.424875145432134,Intel Core i5,0,256,Intel
Acer,Notebook,4,Windows 10,0.7419373447293773,400.0,0,0,4.609706579589369,AMD Processor,500,0,AMD
Apple,Ultrabook,16,Mac OS X,0.712949807856125,2139.97,0,1,5.396054706896642,Intel Core i7,0,0,Intel
Apple,Ultrabook,8,macOS,0.29266961396282004,1158.7,0,0,4.849511000528572,Intel Core i5,0,0,Intel
Asus,Ultrabook,16,Windows 10,0.26236426446749106,1495.0,0,0,5.058475878342969,Intel Core i7,0,512,Nvidia
Acer,Ultrabook,8,Windows 10,0.47000362924573563,770.0,0,1,5.058475878342969,Intel Core i5,0,256,Intel
HP,Notebook,4,No OS,0.62057648772511,393.9,0,0,4.609706579589369,Intel Core i5,500,0,Intel
HP,Notebook,4,No OS,0.62057648772511,344.99,0,0,4.950262293702735,Intel Core i3,500,0,Intel
Apple,Ultrabook,16,macOS,0.6043159668533296,2439.97,0,1,5.396054706896642,Intel Core i7,0,256,AMD
Dell,Notebook,4,Windows 10,0.7884573603642703,498.9,0,0,4.950262293702735,Intel Core i3,0,256,AMD
Apple,Ultrabook,8,macOS,-0.08338160893905101,1262.4,0,1,5.422372015214016,Other Intel Processor,0,256,Intel
Apple,Ultrabook,8,macOS,0.3148107398400336,1518.55,0,1,5.424875145432134,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows 10,0.7884573603642703,745.0,0,0,4.950262293702735,Intel Core i7,0,256,AMD
Apple,Ultrabook,16,macOS,0.6043159668533296,2858.0,0,1,5.396054706896642,Intel Core i7,0,512,AMD
Lenovo,Notebook,8,No OS,0.7884573603642703,499.0,0,0,4.950262293702735,Intel Core i3,1000,0,Nvidia
Dell,Ultrabook,8,Windows 10,0.19885085874516517,979.0,1,1,5.109769172730519,Intel Core i5,0,128,Intel
Asus,Netbook,2,Windows 10,-0.020202707317519466,191.9,0,0,4.905972395732541,Other Intel Processor,0,0,Intel
Lenovo,Gaming,8,Windows 10,0.9162907318741551,999.0,0,1,4.950262293702735,Intel Core i5,1000,128,Nvidia
HP,Notebook,4,No OS,0.62057648772511,258.0,0,0,4.609706579589369,AMD Processor,500,0,AMD
Dell,2 in 1 Convertible,8,Windows 10,0.4824261492442928,819.0,1,0,5.109769172730519,Intel Core i5,0,256,Intel
HP,Ultrabook,8,Windows 10,0.6471032420585384,659.0,0,0,4.950262293702735,Intel Core i7,0,256,Intel
